1460539960830 Device(s) COM5  
1460539960852 Connected COM5  
1460539964070 Repl Initialized  
>> Robot Ready
output: 255 ,setpoint: 0 ,input: 157 ,heading: 29 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 157 ,heading: 29 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 157 ,heading: 29 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 157 ,heading: 29 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 157 ,heading: 29 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 157 ,heading: 29 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 157 ,heading: 29 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 157 ,heading: 29 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 157 ,heading: 29 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 157 ,heading: 29 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 157 ,heading: 29 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 157 ,heading: 29 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 157 ,heading: 29 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 157 ,heading: 29 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 157 ,heading: 29 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 157 ,heading: 29 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 157 ,heading: 29 ,rotateDirection: left ,quarter: Q3
output: 15 ,setpoint: 0 ,input: 153 ,heading: 33 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 153 ,heading: 33 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 153 ,heading: 33 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 153 ,heading: 33 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 153 ,heading: 33 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 153 ,heading: 33 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 153 ,heading: 33 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 153 ,heading: 33 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 153 ,heading: 33 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 153 ,heading: 33 ,rotateDirection: left ,quarter: Q3
output: 15 ,setpoint: 0 ,input: 151 ,heading: 36 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 151 ,heading: 36 ,rotateDirection: left ,quarter: Q3
